Name,Party,State,Dates of Service,Ethnicity
Patsy Mink,Democrat,HI,1965-1977; 1990-2002,Asian-Pacific American
Shirley Chisholm,Democrat,NY,1969-1983,African American
Yvonne Burke,Democrat,CA,1973-1979,African American
Barbara Jordan,Democrat,TX,1973-1979,African American
Cardiss Collins,Democrat,IL,1973-1997,African American
Katie Hall,Democrat,IN,1982-1985,African American
Patricia Saiki,Republican,HI,1987-1991,Asian-Pacific American
Ileana Ros-Lehtinen,Republican,FL,1989-present,Hispanic American
Barbara-Rose Collins,Democrat,MI,1991-1997,African American
Eleanor Holmes Norton,Democrat,DC,1991-present,African American
Maxine Waters,Democrat,CA,1991-present,African American
Carol Moseley Braun,Democrat,IL,1993-1999,African American
Corrine Brown,Democrat,FL,1993-2017,African American
Eva Clayton,Democrat,NC,1993-2003,African American
Eddie Bernice Johnson,Democrat,TX,1993-present,African American
Cynthia McKinney,Democrat,GA,1993-2003; 2005- 2007,African American
Carrie Meek,Democrat,FL,1993-2003,African American
Lucille Roybal-Allard,Democrat,CA,1993-present,Hispanic American
Nydia Velazquez,Democrat,NY,1993-present,Hispanic American
Sheila Jackson Lee,Democrat,TX,1995-present,African American
Juanita Millender-McDonald,Democrat,CA,1995-2007,African American
Julia Carson,Democrat,IN,1997-2007,African American
Donna M. Christensen,Democrat,VI,1997-2015,African American
Carolyn Cheeks Kilpatrick,Democrat,MI,1997-2011,African American
Barbara Lee,Democrat,CA,1997-present,African American
Loretta Sanchez,Democrat,CA,1997-2017,Hispanic American
Stephanie Tubbs Jones,Democrat,OH,1999-2008,African American
Grace Napolitano,Democrat,CA,1999-present,Hispanic American
Hilda Solis,Democrat,CA,2001-2009,Hispanic American
Diane Watson,Democrat,CA,2001-2011,African American
Denise Majette,Democrat,GA,2003-2005,African American
Linda Sanchez,Democrat,CA,2003-present,Hispanic American
Gwendolynne Moore,Democrat,WI,2005-present,African American
Doris Matsui,Democrat,CA,2005-present,Asian-Pacific American
Yvette Clarke,Democrat,NY,2007-present,African American
Mazie K. Hirono,Democrat,HI,2007-present,Asian-Pacific American
Laura Richardson,Democrat,CA,2007-2013,African American
Donna F. Edwards,Democrat,MD,2008-2017,African American
Marcia L. Fudge,Democrat,OH,2008-present,African American
Judy Chu,Democrat,CA,2009-present,Asian-Pacific American
Karen Bass,Democrat,CA,2011-present,African American
Colleen Hanabusa,Democrat,HI,2011-2015; 2016-present,Asian-Pacific American
Jaime Herrera Beutler,Republican,WA,2011-present,Hispanic American
Terri Sewell,Democrat,AL,2011-present,African American
Frederica Wilson,Democrat,FL,2011-present,African American
Joyce Beatty,Democrat,OH,2013-present,African American
Tammy Duckworth,Democrat,IL,2013-present,Asian-Pacific American
Tulsi Gabbard,Democrat,HI,2013-present,Asian-Pacific American
Michele Lujan Grisham,Democrat,NM,2013-present,Hispanic American
Gloria McLeod,Democrat,CA,2013-2015,Hispanic American
Robin Kelly,Democrat,IL,2013-present,African American
Grace Meng,Democrat,NY,2013-present,Asian-Pacific American
Alma Adams,Democrat,NC,2014-present,African American
Brenda Lawrence,Democrat,MI,2015-present,African American
Ludmya (Mia) Love,Republican,UT,2015-present,African American
Stacey Plaskett,Democrat,VI,2015-present,African American
Amata Radewagen,Republican,AS,2015-present,Asian-Pacific American
Norma Torres,Democrat,CA,2015-present,Hispanic American
Bonnie Watson Coleman,Democrat,NJ,2015-present,African American
Val Demings,Democrat,FL,2017-present,African American
Lisa Blunt Rochester,Democrat,DE,2017-present,African American
Nanette Barragon,Democrat,CA,2017-present,Hispanic American
Jenniffer Gonzalez,No Party Preference,PR,2017-present,Hispanic American
Stephanie Murphy,Democrat,FL,2017-present,Asian-Pacific American
Pramila Jayapal,Democrat,WA,2017-present,Asian-Pacific American
Catherine Cortez Masto,Democrat,NV,2017-present,Hispanic American
Kamala Harris,Democrat,CA,2017-present,"African American,Asian-Pacific American"
Alexandria Ocasio-Cortez,Democrat,NY,2018-present,Hispanic American
Ilhan Omar,Democrat,MN,2018-present,African American 
Rashida Tlaib,Democrat,MI,2018-present,Asian-Pacific American 
Ayanna Pressley,Democrat,MA,2018-present,African American 
Jahana Hayes,Democrat,CT,2018-present,African American
Debbie Mucarsel-Powell,Democrat,FL,2018-present,Hispanic American 
Lucy McBath,Democrat,GA,2018-present,African American 
Lauren Underwood,Democrat,IL,2018-present,African American
Sharice Davids,Democrat,KS,2018-present,Native American 
Deb Haaland,Democrat,NM,2018-present,Native American 
Xochitl Torres Small,Democrat,NM,2018-present,Hispanic American
Veronica Escobar,Democrat,TX,2018-present,Hispanic American
